#Table1
objid,ra,dec,u,g,r,i,z,c_u,c_g,c_r,c_i,c_z,deVAB_u,deVAB_r,deVAB_i,deVAB_z,deVAB_g,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,specobjid,class,redshift
1237645879551000764,348.841086940713,1.26880178583458,25.92735,20.9957,19.24612,18.56461,18.43049,20.17031,20.77641,19.38378,18.45929,18.56914,0.05598599,0.3311929,0.2803641,0.07927619,0.2912393,0.06902257,0.3781432,0.3341457,0.3424756,0.1999991,4825695603672457216,GALAXY,0.3996509
1237645879551066262,348.902530171573,1.27188624932946,19.38905,18.24496,17.58728,17.20807,16.90905,19.49965,18.13064,17.4931,17.13185,16.97681,0.2226813,0.3972906,0.3781517,0.4612805,0.3856554,0.3950121,0.4546137,0.4698399,0.4645553,0.5291749,430194949951088640,GALAXY,0.03212454
1237645879562928144,16.0049119708675,1.25942250972049,21.50923,19.6934,18.47973,17.91998,17.55132,22.74946,20.0503,18.61824,18.09769,17.81913,0.05,0.7605715,0.7665178,0.7922759,0.65753,0.9998541,0.7026396,0.7235304,0.740567,0.7683743,754455784200366080,GALAXY,0.3120482
1237645879562928258,16.0202444868512,1.26766725996923,20.96947,20.29136,19.36779,18.86387,18.45551,21.17854,20.26791,19.25845,18.80196,18.42242,0.1654415,0.6578523,0.8437875,0.9612034,0.7998971,0.2682816,0.8780341,0.8279883,0.9262717,0.8548896,754453860055017472,GALAXY,0.2004682
1237645879562928805,16.026028703005,1.26677200796832,25.27165,22.32081,21.33033,19.94852,19.47201,21.54497,22.13694,21.33033,19.51391,18.89164,0.05,0.3000026,0.8685336,0.3215023,0.05,0.05,0.05,0.35417,0.9242567,0.36585,4853831831466778624,GALAXY,0.7526451
1237645879573873373,41.0196126806213,1.27127864890579,22.64928,22.0096,20.40414,19.57801,19.20975,19.88217,21.74334,20.20997,19.49154,19.05872,0.4141299,0.5047984,0.4230622,0.9732382,0.4498955,0.1999948,0.4999883,0.5408019,0.4711064,0.5308862,4797482960004554752,GALAXY,0.5046994
1237645879577477252,49.2489417995925,1.27243115303389,21.41706,18.80885,17.70065,17.20334,16.81356,21.53034,18.92807,17.75864,17.27171,16.88999,0.05,0.2260101,0.241452,0.2359225,0.2361842,0.05,0.3102943,0.297792,0.3159155,0.3127804,465100870804072448,GALAXY,0.1106111
1237645879577739681,49.8737599539194,1.27121021048005,22.98776,21.34827,19.75467,19.14825,18.81528,22.41054,21.34041,19.75468,19.04222,18.7231,0.05,0.9969527,0.9793566,0.8433069,0.6750731,0.05,0.7276636,0.9968988,0.9997888,0.6904825,910974839957776384,GALAXY,0.2937785
1237645879577936138,50.2348350060831,1.27194527496731,19.78651,18.34659,17.64557,17.25275,17.00746,19.44946,18.26426,17.64558,17.25907,17.03925,0.29851,0.4497916,0.4308165,0.3725139,0.4356332,0.3805417,0.4617448,0.4775689,0.4506768,0.4039425,465154746873833472,GALAXY,0.07429758
1237645879578460255,51.4436950026148,1.27007271795861,19.52808,17.96541,17.03493,16.53754,16.14154,19.05574,17.78981,17.06851,16.67977,16.35434,0.2968214,0.2652818,0.2608502,0.2704869,0.2468423,0.2977425,0.2855045,0.3203512,0.3255306,0.3621532,466235292731336704,GALAXY,0.1213151
1237645879578460271,51.4835835170322,1.27201267342336,18.72268,17.3852,16.81134,16.51803,16.29502,19.04368,17.45665,16.81134,16.41668,16.18017,0.8253796,0.8636574,0.9149469,0.9999418,0.8557724,0.9994304,0.8630051,0.833149,0.9175606,0.9997659,466232818830174208,GALAXY,0.04876465
1237645879578460507,51.4756671357035,1.2704058303334,21.15835,19.97747,19.44971,19.12359,19.07743,21.00318,19.96736,19.44971,19.12511,19.062,0.06602094,0.1740352,0.1493721,0.1454922,0.1523456,0.2000006,0.2499289,0.2499834,0.2171315,0.4501772,906466566382577664,GALAXY,0.0488077
1237645879579967591,54.9285003138559,1.27188765009276,20.75028,18.53424,17.398,16.89366,16.50811,19.91224,18.5291,17.43118,16.88846,16.48498,0.7000689,0.7174597,0.6658622,0.8015432,0.6474503,0.5359802,0.630311,0.6582521,0.6174968,0.7203882,468489015717292032,GALAXY,0.1317873
1237645941824356443,40.2856904119424,-0.71495662825756,17.54884,15.75164,15.031,14.66728,14.36099,17.56256,15.57014,15.1102,14.85113,14.57321,0.3179325,0.3677689,0.3588067,0.3392318,0.339572,0.3482318,0.3355291,0.3593509,0.3509447,0.3616189,459394680333821952,GALAXY,0.04028672
1237645941824356668,40.2778355788529,-0.777074114700314,22.33754,21.00746,19.83828,19.30565,18.87624,20.08722,20.84885,19.80311,19.21368,18.78938,0.197501,0.3079731,0.3179501,0.3999321,0.3169169,0.05,0.4220082,0.3738714,0.3841768,0.3998717,4773908605266010112,GALAXY,0.3667448
1237645941824357025,40.2847510935017,-0.767710946671086,24.21344,23.15401,21.48509,20.27396,19.88383,20.20046,23.08921,21.43094,19.96983,19.49322,0.2525122,0.4524021,0.6574743,0.4361905,0.05,0.1775498,0.06848657,0.5214419,0.7076466,0.6818754,4110775821756506112,GALAXY,0.6265841
1237645942898230100,40.5799717733161,0.119814623956833,22.70307,22.00335,20.28827,19.29591,18.85664,21.58738,21.37204,20.28826,19.45328,19.06569,0.999745,0.6347981,0.6602166,0.9997534,0.2499762,0.2999552,0.3794131,0.6433886,0.6942729,0.9921674,4109768669055131648,GALAXY,0.5112135
1237645942898230412,40.581193438761,0.111694947200113,22.8178,23.30531,23.00124,22.92958,22.8532,22.67689,23.09407,23.00125,22.7172,22.01672,0.05,0.1141397,0.05,0.3385774,0.05,0.05000566,0.05,0.09911116,0.05,0.05,8259859113988562944,GALAXY,0
1237645942898230422,40.5873087949461,0.0996939020411944,22.90015,23.03041,21.75114,20.3216,19.39912,22.4475,21.54776,21.5286,20.6751,19.41555,0.05,0.2246504,0.5274913,0.4815735,0.06056219,0.05,0.09997554,0.4549514,0.4815725,0.5040197,8810420601296494592,GALAXY,0.6881828
1237645942904389827,54.5507319566264,0.220213661483242,20.65226,19.77637,20.11424,19.77093,19.80214,20.80491,20.22304,20.11425,19.97167,20.02073,0.3792972,0.6000101,0.9998249,0.4326735,0.7453633,0.5786301,0.9571786,0.7932755,0.9998909,0.2300821,907631224174962688,GALAXY,0.04265009
1237645942904520927,54.9367873178738,0.216797620844987,21.30107,19.02937,17.60633,17.04571,16.68989,21.0073,18.94682,17.60634,17.04922,16.60716,0.2000075,0.8093669,0.7556036,0.7468697,0.794812,0.3499877,0.825529,0.8262664,0.7678633,0.772407,468504134002173952,GALAXY,0.201277
1237645942904717681,55.2761295657884,0.217558502453856,23.3517,22.57222,20.95299,20.02961,19.64134,23.16955,21.95192,20.95299,19.96982,19.77199,0.05,0.5254716,0.6372465,0.3703946,0.1306912,0.06805246,0.1499789,0.5970063,0.797167,0.5290884,2971379390706903040,GALAXY,0.5083391
1237645942904783006,55.4641388645941,0.222407524288394,20.48714,19.25844,18.47575,18.04646,17.82076,20.33937,19.24204,18.47576,18.08037,17.89592,0.4193186,0.918229,0.8919749,0.914645,0.8288923,0.5249767,0.875366,0.9551,0.9089907,0.8429899,1195821743483152384,GALAXY,0.19464
1237645942904914122,55.7170652515606,0.217693165447775,22.2821,20.27493,18.59249,17.99164,17.71293,19.667,20.02436,18.59243,18.00422,17.83661,0.1748422,0.8406132,0.8108503,0.6805364,0.8350763,0.0790518,0.7755902,0.8331301,0.8062939,0.6264662,804041554237876224,GALAXY,0.2994811
1237645942905045292,56.1074243089963,0.219118990183263,22.03606,20.82122,19.75666,19.30884,19.16476,22.47951,20.78643,19.81976,19.38251,19.5737,0.05,0.9997454,0.9964502,0.9721947,0.8217039,0.1955243,0.8395723,0.965602,0.9996794,0.9069714,1837632250586359808,GALAXY,0.3065799
1237645942905110768,56.2438035346805,0.216316768206566,22.95562,20.73321,19.23019,18.66667,18.31896,22.32203,20.57811,19.23018,18.61696,18.20639,0.05,0.7818863,0.7084908,0.8435921,0.7110456,0.05,0.811164,0.8144369,0.6862407,0.8170955,1837631151074732032,GALAXY,0.3097279
1237645942905241816,56.5276884973467,0.218000706353456,21.70585,20.94496,19.33368,18.66559,18.27108,20.30899,19.7551,19.33367,19.3934,18.18541,0.05,0.7780756,0.05,0.6591067,0.7474957,0.2026059,0.6300602,0.7706165,0.6341612,0.5752076,2970286750674479104,GALAXY,0.3311663
1237645942905242169,56.5572482453827,0.223548087494704,23.88601,20.90375,19.60435,19.35194,18.50815,24.04514,20.51822,19.47546,19.52625,18.31873,0.1360538,0.8120626,0.8004907,0.8719029,0.6376128,0.08959693,0.7463022,0.7787786,0.8000306,0.9105806,1838704549334902784,GALAXY,0.2950576
1237645942905308066,56.7248399645421,0.218764930622861,23.34023,22.43101,20.86535,19.75755,19.40863,20.74502,19.72992,20.8655,19.64698,19.71025,0.1489941,0.3679661,0.6136772,0.5000739,0.647198,0.09878962,0.8125536,0.4245848,0.7265919,0.6499912,2971423651905169408,GALAXY,0.5315121
1237645942905438473,57.025336578067,0.20884499634774,17.61444,16.17125,15.52131,15.15564,14.86996,17.63736,16.12779,15.47698,15.08943,14.7758,0.7498311,0.86597,0.8821877,0.8776037,0.8714535,0.72167,0.8523719,0.8521045,0.8607351,0.8706943,1398488404370417664,GALAXY,0.0254747
